"Feature","Gain","Cover","Frequency"
"M4",0.222549727706946,0.333333333333333,0.142857142857143
"M9",0.197492557599695,0.299417116746514,0.142857142857143
"P11",0.135262311014494,0.16647253944349,0.142857142857143
"E6",0.122551540616758,0.0339162165868192,0.142857142857143
"E4",0.112864723777869,0.0122316057437685,0.142857142857143
"M10",0.0928340738209338,0.0216846108430507,0.142857142857143
"E15",0.0878607486215315,0.0997085673481186,0.107142857142857
"E1",0.0285843168417719,0.0332360099549059,0.0357142857142857
