"m_thr","p_thr","Sharpe","Ann_Ret","Trades","Score"
0.7,0.7,1.34820550568696,0.170427339799088,154,3.38610480991866
0.66,0.7,1.30759580565097,0.170334294760539,172,3.12030909351404
0.72,0.7,1.32693483996406,0.16595868732012,143,2.97093243710161
0.7,0.68,1.30366687471924,0.163933010529039,149,2.6954979503333
0.7,0.64,1.2967939931907,0.162351526967542,142,2.55275886097844
0.62,0.7,1.25205127992586,0.166830446514607,199,2.54594932508553
0.68,0.7,1.27026424640425,0.16386894337853,163,2.47765168812627
0.66,0.68,1.2639820818781,0.16383996549049,167,2.43562356363613
0.6,0.7,1.24107988091092,0.165847229279344,208,2.414323362536
0.7,0.66,1.28266356384256,0.16067879599295,146,2.35785942955518
0.56,0.7,1.22870151233106,0.165821441965282,230,2.33346605327585
0.66,0.64,1.25698382039381,0.162258481928993,160,2.29208178179409
0.72,0.68,1.28188586629314,0.159464358050071,138,2.27705832278368
0.54,0.7,1.2229023236305,0.165100560488735,237,2.25133166626783
0.5,0.7,1.20181077258392,0.165481521072108,263,2.1400867675672
0.72,0.64,1.27490519880926,0.157882874488574,131,2.133629179137
0.58,0.7,1.21475616998151,0.163644384954011,218,2.108264469146
0.66,0.66,1.24332404745172,0.160585750954401,164,2.10019553026026
0.74,0.7,1.27677919966158,0.156284811522919,127,2.04585321054255
0.7,0.62,1.26326124134124,0.156961503745316,138,2.00155876788268
0.72,0.66,1.26062752679683,0.156210143513982,135,1.93778708842085
0.64,0.7,1.21166701003657,0.160870209155208,187,1.91528451399754
0.62,0.68,1.20902283566947,0.160336117244558,194,1.86501080140178
0.68,0.68,1.22610765084214,0.157374614108481,158,1.78949064970992
0.6,0.68,1.19810957007428,0.159352900009295,202,1.73375701364694
0.82,0.7,1.27149891861258,0.151653998330064,83,1.72292821423489
0.62,0.64,1.20185084186474,0.158754633683061,186,1.7203567713732
0.78,0.7,1.26190706805171,0.152114958163634,103,1.69029998980958
0.68,0.64,1.21893476422926,0.155793130546983,151,1.64483090385229
0.52,0.7,1.17381331828455,0.160373431463154,247,1.64192633604055
0.66,0.62,1.21556307087315,0.155734463892351,155,1.61958225955857
0.6,0.64,1.19090197323706,0.157771416447798,194,1.58887505016176
0.72,0.62,1.240947466185,0.152492851266348,127,1.57970832518976
0.56,0.68,1.17915560307088,0.158331976728217,222,1.5486718740298
0.74,0.64,1.24516447267113,0.151463213227461,117,1.54242151062523
0.62,0.66,1.18854863606287,0.15708190270847,191,1.53075969321981
0.66,0.36,1.2506853003574,0.150689267842312,99,1.52944577998292
0.76,0.7,1.24371225470175,0.151121187626883,112,1.5117702670772
0.54,0.68,1.17334480283698,0.15761109525167,228,1.46646314905827
0.68,0.66,1.20515682942078,0.154120399572392,155,1.45218817061563
0.8,0.7,1.24428389436532,0.149857562341495,97,1.43653676207343
0.58,0.68,1.17196889494495,0.157150055683962,212,1.42886993006298
0.66,0.38,1.24080222149593,0.149741983645347,102,1.40703077345284
0.56,0.64,1.17189928081277,0.15675049316672,212,1.40347796650976
0.6,0.66,1.17764693909338,0.156098685473207,199,1.39957996873039
0.86,0.7,1.25708135865223,0.147891536280752,68,1.39572026870366
0.5,0.64,1.15689826795921,0.157823019360623,241,1.37440239059539
0.88,0.7,1.25709342952705,0.14744403989948,63,1.36785855596599
0.5,0.68,1.15300707173516,0.157992055835043,253,1.36004426583018
0.74,0.66,1.23063721407359,0.14979048225287,121,1.3449815466638
0.74,0.68,1.23063721407359,0.14979048225287,122,1.3449815466638
0.54,0.64,1.16606731394553,0.156029611690173,218,1.32113373106162
0.78,0.64,1.23707497266278,0.148303425494773,98,1.29335368163001
0.58,0.64,1.16468138747362,0.155568572122465,203,1.28347637231804
0.7,0.36,1.24105639406011,0.147402942833424,89,1.26262232004374
0.66,0.4,1.22754959705687,0.148785062322225,107,1.26244198271952
0.84,0.7,1.24089054095297,0.14726282362996,75,1.25281231211761
0.82,0.64,1.24004572102967,0.147110799029573,79,1.23791220280991
0.7,0.58,1.21425112870744,0.149753405067607,131,1.23776164267687
0.64,0.68,1.16832096453265,0.154375879885159,182,1.23231268176932
0.56,0.66,1.15878705922203,0.155077762192128,219,1.21509718244472
0.7,0.6,1.21084482242444,0.149344714607124,135,1.1904380155105
0.68,0.36,1.23001038108834,0.146777444142929,94,1.15285247450679
0.7,0.44,1.22284681734302,0.14740445813502,103,1.14613776236685
0.7,0.38,1.23101871214444,0.146455658636458,92,1.13921753241695
0.54,0.66,1.15296365034495,0.154356880715582,225,1.13280773593277
0.82,0.66,1.2316109225844,0.146169734686611,80,1.12515753353523
0.82,0.68,1.2316109225844,0.146169734686611,80,1.12515753353523
0.76,0.64,1.21892677695499,0.147309654958022,105,1.11512240876483
0.66,0.34,1.22257567099572,0.146721145761424,95,1.10173993344513
0.58,0.66,1.15155437851317,0.153895841147873,209,1.09500091833144
0.78,0.66,1.22233021733053,0.146630694520182,100,1.09452128620769
0.78,0.68,1.22233021733053,0.146630694520182,100,1.09452128620769
0.64,0.64,1.16097996480935,0.152794396323661,174,1.08657666235636
0.8,0.64,1.21934123552051,0.146046029672634,92,1.03888261782174
0.72,0.58,1.20596483283894,0.147312151380235,122,1.03229486926902
0.68,0.38,1.22004763431693,0.145830159945963,97,1.02992742765651
0.5,0.66,1.13288834399488,0.154737841298955,250,1.02806891691785
0.62,0.62,1.15878375741071,0.15196633218423,179,1.02081700636802
0.9,0.7,1.23862355372451,0.143772004680569,52,1.0203530700785
0.7,0.48,1.2070858931793,0.146789171804164,113,1.00682027744885
0.7,0.56,1.19819666901743,0.147606965108115,127,1.00096886611127
0.5,0.62,1.13811164240292,0.153757815698704,231,1.00032196683836
0.7,0.4,1.21754397147011,0.145498737313337,97,0.993206735811303
0.72,0.6,1.20263873027515,0.146917137494758,125,0.986338596073131
0.74,0.62,1.21053890437545,0.146073190005236,113,0.98422511938848
0.68,0.62,1.17690981875786,0.149269112510342,146,0.968463270900106
0.66,0.42,1.20059087568484,0.1461411037588,110,0.924777173094787
0.6,0.62,1.15031489636153,0.151291046155646,186,0.924437870273109
0.76,0.66,1.20431863951739,0.145636923983431,107,0.917164652011768
0.76,0.68,1.20431863951739,0.145636923983431,108,0.917164652011768
0.64,0.66,1.14765128298676,0.15112166534907,179,0.896810082604462
0.68,0.4,1.20670887628263,0.144873238622842,102,0.884787202769423
0.72,0.36,1.21516234875434,0.143895385660554,83,0.877855731437846
0.52,0.64,1.12837635833611,0.152714929751669,225,0.872884354212888
0.52,0.68,1.12454158828906,0.152883966226089,237,0.858887474337988
0.66,0.58,1.16701460554003,0.148469523459292,147,0.855191778775274
0.8,0.66,1.20459526347396,0.144373298698042,94,0.84004243289728
0.8,0.68,1.20459526347396,0.144373298698042,94,0.84004243289728
0.7,0.34,1.21257604659577,0.143434820752536,85,0.832543106614001
0.7,0.46,1.19916466202698,0.144790329771833,108,0.831312209118832
0.78,0.36,1.22974101408504,0.141653413968311,61,0.831214238343646
0.68,0.3,1.21240722999422,0.143219755796225,84,0.818034962629234
0.66,0.6,1.16414694478838,0.14811767475416,152,0.814865461762062
0.7,0.5,1.19144023736803,0.145051984034515,116,0.798195949345925
