"Open","Close","Score","Sharpe","Ret"
0.5,0.45,1.30506095373335,1.35799160720506,0.126977385141888
0.51,0.45,1.30506095373335,1.35799160720506,0.126977385141888
0.52,0.45,1.30506095373335,1.35799160720506,0.126977385141888
0.53,0.45,1.30506095373335,1.35799160720506,0.126977385141888
0.54,0.45,1.30506095373335,1.35799160720506,0.126977385141888
0.55,0.45,1.30142474522178,1.35419834841138,0.126624234309538
0.56,0.45,1.30075469049698,1.35361690609337,0.126551321343273
0.57,0.45,1.30075469049698,1.35361690609337,0.126551321343273
0.58,0.45,1.30595685707121,1.35914080798823,0.12705008897932
0.59,0.45,1.30595685707121,1.35914080798823,0.12705008897932
0.6,0.45,1.20995098301322,1.29297000617027,0.115460496757519
0.61,0.45,1.29810536942985,1.45435854285381,0.119393658714722
0.62,0.45,1.29810536942985,1.45435854285381,0.119393658714722
0.63,0.45,0,0,0
0.64,0.45,0,0,0
0.65,0.45,0,0,0
0.5,0.46,1.30506095373335,1.35799160720506,0.126977385141888
0.51,0.46,1.30506095373335,1.35799160720506,0.126977385141888
0.52,0.46,1.30506095373335,1.35799160720506,0.126977385141888
0.53,0.46,1.30506095373335,1.35799160720506,0.126977385141888
0.54,0.46,1.30506095373335,1.35799160720506,0.126977385141888
0.55,0.46,1.30142474522178,1.35419834841138,0.126624234309538
0.56,0.46,1.30075469049698,1.35361690609337,0.126551321343273
0.57,0.46,1.30075469049698,1.35361690609337,0.126551321343273
0.58,0.46,1.30595685707121,1.35914080798823,0.12705008897932
0.59,0.46,1.30595685707121,1.35914080798823,0.12705008897932
0.6,0.46,1.20995098301322,1.29297000617027,0.115460496757519
0.61,0.46,1.29810536942985,1.45435854285381,0.119393658714722
0.62,0.46,1.29810536942985,1.45435854285381,0.119393658714722
0.63,0.46,0,0,0
0.64,0.46,0,0,0
0.65,0.46,0,0,0
0.5,0.47,1.30506095373335,1.35799160720506,0.126977385141888
0.51,0.47,1.30506095373335,1.35799160720506,0.126977385141888
0.52,0.47,1.30506095373335,1.35799160720506,0.126977385141888
0.53,0.47,1.30506095373335,1.35799160720506,0.126977385141888
0.54,0.47,1.30506095373335,1.35799160720506,0.126977385141888
0.55,0.47,1.30142474522178,1.35419834841138,0.126624234309538
0.56,0.47,1.30075469049698,1.35361690609337,0.126551321343273
0.57,0.47,1.30075469049698,1.35361690609337,0.126551321343273
0.58,0.47,1.30595685707121,1.35914080798823,0.12705008897932
0.59,0.47,1.30595685707121,1.35914080798823,0.12705008897932
0.6,0.47,1.20995098301322,1.29297000617027,0.115460496757519
0.61,0.47,1.29810536942985,1.45435854285381,0.119393658714722
0.62,0.47,1.29810536942985,1.45435854285381,0.119393658714722
0.63,0.47,0,0,0
0.64,0.47,0,0,0
0.65,0.47,0,0,0
0.5,0.48,1.30506095373335,1.35799160720506,0.126977385141888
0.51,0.48,1.30506095373335,1.35799160720506,0.126977385141888
0.52,0.48,1.30506095373335,1.35799160720506,0.126977385141888
0.53,0.48,1.30506095373335,1.35799160720506,0.126977385141888
0.54,0.48,1.30506095373335,1.35799160720506,0.126977385141888
0.55,0.48,1.30142474522178,1.35419834841138,0.126624234309538
0.56,0.48,1.30075469049698,1.35361690609337,0.126551321343273
0.57,0.48,1.30075469049698,1.35361690609337,0.126551321343273
0.58,0.48,1.30595685707121,1.35914080798823,0.12705008897932
0.59,0.48,1.30595685707121,1.35914080798823,0.12705008897932
0.6,0.48,1.20995098301322,1.29297000617027,0.115460496757519
0.61,0.48,1.29810536942985,1.45435854285381,0.119393658714722
0.62,0.48,1.29810536942985,1.45435854285381,0.119393658714722
0.63,0.48,0,0,0
0.64,0.48,0,0,0
0.65,0.48,0,0,0
0.51,0.49,1.30506095373335,1.35799160720506,0.126977385141888
0.52,0.49,1.30506095373335,1.35799160720506,0.126977385141888
0.53,0.49,1.30506095373335,1.35799160720506,0.126977385141888
0.54,0.49,1.30506095373335,1.35799160720506,0.126977385141888
0.55,0.49,1.30142474522178,1.35419834841138,0.126624234309538
0.56,0.49,1.30075469049698,1.35361690609337,0.126551321343273
0.57,0.49,1.30075469049698,1.35361690609337,0.126551321343273
0.58,0.49,1.30595685707121,1.35914080798823,0.12705008897932
0.59,0.49,1.30595685707121,1.35914080798823,0.12705008897932
